STATION_NAME,DATE,PRECIP,TEMP_AVG,TEMP_MAX,TEMP_MIN,AVG_WIND,WDF2 (Direction of fastest 2 min wind - degrees),WDF5 (Direction of fastest 5 second wind - degrees),WSF2 (Fastest 2 min wind speed),WSF5 (Fastests 5 second wind speed),FOG,HAIL,HEAVY FOG,ICE,SMOKE/HAZE,THUNDER
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160404,0,34,42,28,7.8,330,10,14.1,21,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160405,0.07,33,37,28,12.3,120,120,25.1,32,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160406,0,38,44,32,11,320,350,19.9,25.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160407,0.04,37,43,33,7.8,320,310,25.1,32,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160408,0.02,33,37,24,17,320,320,29.1,36.9,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160409,0,29,43,20,12.3,150,160,25.9,34,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160410,0,44,59,35,15.9,320,270,29.1,38,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160411,0,38,44,31,14.8,310,310,30,42.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160412,0,37,49,27,8.5,100,100,21,25.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160413,0,52,71,41,10.5,110,120,21,23,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160414,0,61,76,49,14.3,170,170,25.1,34,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160415,0,63,77,48,14.3,160,160,29.1,38.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160416,0,68,80,57,13.4,160,170,25.1,31.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160417,0,69,79,58,10.1,170,150,18.1,23,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160418,0.19,71,79,51,8.7,70,70,21,25.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160419,0.08,56,59,48,10.7,120,110,18.1,23,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160420,0.25,56,67,52,9.6,110,100,15,19.9,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160421,0.32,57,66,50,6.7,10,10,19.9,27.1,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160422,0,51,59,43,8.5,30,40,17,23,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160423,0,55,71,43,10.7,160,130,19.9,23.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160424,0.39,59,62,52,13.9,90,90,23,27.1,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160425,0.53,54,55,44,10.7,110,20,17,28,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160426,0,45,49,42,11.4,70,50,19.9,27.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160427,0.28,46,53,40,17.2,70,70,31.1,42.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160428,0.65,41,43,37,11.6,70,70,23.9,34,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160429,0,44,60,34,5.8,10,10,16.1,21,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160430,0,51,58,42,13.9,90,80,25.1,33.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160501,0,51,63,41,9.6,40,10,17,27.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160502,0,55,67,39,2.7,300,270,10.1,13,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160503,0,60,73,48,12.8,270,310,25.9,36.9,0,0,0,0,1,0
