Terminal,Number_docks,Map Frame Label,Location,Latitude,Longitude,Zip Code,City,Neighborhood,CPED Sector,Council Ward,Location Justification (network = SP or MN)
30000,27,100 Main Street SE,140 Main Street SE,44.984892,-93.256551,55414,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Attraction
30001,15,25th Street & 33rd Ave S,3301 East 25th Street,44.957341,-93.223374,55406,Minneapolis,Seward,Minn-South,2,Attraction
30002,15,Riverside Ave & 23rd Ave S,2381 Riverside Ave. S,44.967115,-93.240149,55454,Minneapolis,Cedar-Riverside,Minn-East,2,Minneapolis
30003,15,Plymouth Ave N & N Oliver Ave,2060 Plymouth Avenue North,44.991412,-93.306269,55411,Minneapolis,Willard-Hay,Minn-North,5,Equity
30004,23,11th Street & Hennepin,1060 Hennepin Ave.,44.97534,-93.27869,55403,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30005,15,Hennepin & Central Avenue NE,422 East Hennepin Ave.,44.98889,-93.25392,55414,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Minneapolis
30006,19,YWCA Downtown,1190 Nicollett Mall,44.972217,-93.276435,55403,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30007,19,9th Street & 4th Ave,380 South 9th Street,44.97265,-93.26872,55404,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30008,19,Midtown Exchange,2982 10th Ave S,44.94859,-93.2602,55407,Minneapolis,Midtown Phillips,Minn-South,9,Minneapolis
30009,19,4th Street & 13th Ave SE,1280 4th Street SE,44.98102,-93.23746,55414,Minneapolis,Marcy-Holmes,Minn-East,3,Minneapolis
30010,15,Hennepin & Laurel Ave,1400 Hennepin Avenue,44.97391,-93.28305,55403,Minneapolis,Loring Park,Minn-Downtown,7,Minneapolis
30011,19,North 2nd Street & 4th Ave N,405 North 2nd Street,44.986087,-93.272459,55401,Minneapolis,North Loop,Minn-Downtown,7,Minneapolis
30012,19,Mpls Convention Center,1400 Marquette Avenue,44.970041,-93.275861,55403,Minneapolis,Loring Park,Minn-Downtown,7,Minneapolis
30013,19,Lyndale Ave S & West 29th Street,2916 Lyndale Avenue,44.9494847,-93.2882273,55408,Minneapolis,Whittier,Minn-Southwest,10,Attraction
