terminal,number_docks,map_label,location,latitude,longitude,zip,city,neighborhood,cped_sector,council_ward,loc_just,coordinates
30000,27,100 Main Street SE,140 Main Street SE,44.984892,-93.256551,55414,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Attraction,"(44.984891999999995, -93.256551000000002)"
30001,15,25th Street & 33rd Ave S,3301 East 25th Street,44.957341,-93.223374,55406,Minneapolis,Seward,Minn-South,2,Attraction,"(44.957341, -93.223373999999993)"
30002,15,Riverside Ave & 23rd Ave S,2381 Riverside Ave. S,44.967115,-93.240149,55454,Minneapolis,Cedar-Riverside,Minn-East,2,Minneapolis,"(44.967115, -93.240149000000002)"
30003,15,Plymouth Ave N & N Oliver Ave,2060 Plymouth Avenue North,44.991412,-93.306269,55411,Minneapolis,Willard-Hay,Minn-North,5,Equity,"(44.991411999999997, -93.306269)"
30004,23,11th Street & Hennepin,1060 Hennepin Ave.,44.97534,-93.27869,55403,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.975340000000003, -93.278689999999997)"
30005,15,Hennepin & Central Avenue NE,422 East Hennepin Ave.,44.98889,-93.25392,55414,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Minneapolis,"(44.988890000000005, -93.253919999999994)"
30006,19,YWCA Downtown,1190 Nicollett Mall,44.972217,-93.276435,55403,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.972217000000001, -93.276434999999992)"
30007,19,9th Street & 4th Ave,380 South 9th Street,44.97265,-93.26872,55404,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.972650000000002, -93.268720000000002)"
30008,19,Midtown Exchange,2982 10th Ave S,44.94859,-93.2602,55407,Minneapolis,Midtown Phillips,Minn-South,9,Minneapolis,"(44.948590000000003, -93.260199999999998)"
30009,19,4th Street & 13th Ave SE,1280 4th Street SE,44.98102,-93.23746,55414,Minneapolis,Marcy-Holmes,Minn-East,3,Minneapolis,"(44.981020000000001, -93.237459999999999)"
30010,15,Hennepin & Laurel Ave,1400 Hennepin Avenue,44.97391,-93.28305,55403,Minneapolis,Loring Park,Minn-Downtown,7,Minneapolis,"(44.973909999999997, -93.283050000000003)"
30011,19,North 2nd Street & 4th Ave N,405 North 2nd Street,44.986087,-93.272459,55401,Minneapolis,North Loop,Minn-Downtown,7,Minneapolis,"(44.986086999999998, -93.272458999999998)"
30012,19,Mpls Convention Center,1400 Marquette Avenue,44.970041,-93.275861,55403,Minneapolis,Loring Park,Minn-Downtown,7,Minneapolis,"(44.970040999999995, -93.275860999999992)"
30013,19,Lyndale Ave S & West 29th Street,2916 Lyndale Avenue,44.9494847,-93.2882273,55408,Minneapolis,Whittier,Minn-Southwest,10,Attraction,"(44.949484699999999, -93.288227299999988)"
30014,15,22nd Ave S & Franklin Ave,2200 Franklin Ave,44.96293,-93.241042,55406,Minneapolis,Seward,Minn-South,2,Equity,"(44.96293, -93.241042000000007)"
30015,20,Washington & Cedar,1500 Washington Avenue S,44.97344,-93.24748,55454,Minneapolis,Cedar-Riverside,Minn-East,2,Attraction,"(44.973440000000004, -93.24748000000001)"
30016,15,Walker Art Center,1750 Hennepin Avenue,44.9671037,-93.2890749,55403,Minneapolis,Lowry Hill,Minn-Southwest,7,Attraction,"(44.967103700000003, -93.289074900000003)"
30017,19,Lyndale Ave S & 22nd Street,2250 Lyndale Ave S,44.960744,-93.28815,55405,Minneapolis,Whittier,Minn-Southwest,10,Minneapolis,"(44.960743999999998, -93.288150000000002)"
30018,17,MCAD,2501 Stevens Avenue S,44.957214,-93.274981,55404,Minneapolis,Whittier,Minn-Southwest,6,Minneapolis,"(44.957214, -93.274981000000011)"
30019,29,Social Sciences,269 19th Ave S,44.971359,-93.243754,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.971359, -93.24375400000001)"
30020,19,YWCA Uptown,2850 Hennepin Ave,44.95131,-93.29853,55408,Minneapolis,Whittier,Minn-Southwest,10,Minneapolis,"(44.951309999999999, -93.29853)"
30021,19,2nd Ave N & Washington Ave N,190 Washington Ave. N,44.98383,-93.27099,55401,Minneapolis,North Loop,Minn-downtown,7,Minneapolis,"(44.983829999999998, -93.270989999999998)"
30022,15,26th Street & Lyndale,2601 Lyndale Ave. S,44.95548,-93.28775,55405,Minneapolis,Whittier,Minn-Southwest,10,Minneapolis,"(44.955480000000001, -93.287750000000003)"
30023,15,Chicago & 27th Street,2705 Chicago Ave. S,44.95355,-93.26259,55407,Minneapolis,Midtown Phillips,Minn-South,9,Equity,"(44.95355, -93.262590000000003)"
30024,35,Coffman Union,300 Washington Ave SE,44.973378,-93.234762,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.973378000000004, -93.234762000000003)"
30025,25,Williamson Hall,331 Pillsbury Drive SE,44.977406,-93.234911,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.977406000000002, -93.234910999999997)"
30026,25,Mayo Memorial Building,400 Delaware Street SE,44.97209,-93.23206,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.972090000000001, -93.232060000000004)"
30027,19,4th Street S & 19th Ave,1905 South 4th Street,44.97003,-93.24519,55454,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.970030000000001, -93.245190000000008)"
30028,19,Washington & Marquette,100 Washington Ave. S,44.9808736,-93.2669252,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.980873600000002, -93.266925200000003)"
30029,33,Hennepin County Government Center,505 3rd Ave. S,44.976602,-93.266701,55415,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.976602, -93.266700999999998)"
30030,31,South 2nd Street & 3rd Ave S,300 South 2nd Street,44.9809267,-93.2634544,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.980926700000005, -93.263454400000015)"
30031,19,23rd Ave SE & 6th Street SE,600 23rd Ave SE,44.977028,-93.221639,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.977028000000004, -93.221638999999996)"
30032,15,4th Street & 17th Ave SE,1690 4th Street SE,44.97913,-93.23189,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.979129999999998, -93.231890000000007)"
