terminal,number_docks,map_label,location,latitude,longitude,zip,city,neighborhood,cped_sector,council_ward,loc_just,coordinates
30075,15,Curfew Street & Ellis Ave.,827 Curfew Street,44.96616,-93.20525,55114,St. Paul,St. Anthony Park,St. Paul West,4,St. Paul,"(44.966159999999995, -93.205250000000007)"
30076,15,Carleton Street & University Ave,746 Carleton Street,44.963549,-93.195906,55114,St. Paul,St. Anthony Park,St. Paul West,4,St. Paul,"(44.963549, -93.195906000000008)"
30077,15,Fairview Ave. & University Ave.,540 Fairview Ave N,44.95665,-93.17706,55104,St. Paul,Hamline-Midway,St. Paul West,4,St. Paul,"(44.956650000000003, -93.177059999999997)"
30078,15,Englewood Ave & N Asbury Street,1544 Englewood Ave,44.964172,-93.165868,55104,St. Paul,Hamline-Midway,St. Paul West,4,St. Paul,"(44.964171999999998, -93.165868000000003)"
30079,15,Sherburne Ave & Snelling Ave N,1583 Sherburne Ave,44.956624,-93.16734,55104,St. Paul,Hamline-Midway,St. Paul West,4,St. Paul,"(44.956623999999998, -93.167339999999996)"
30082,15,N Victoria Street & University Ave,861 University Avenue W,44.956052,-93.136556,55104,St. Paul,Thomas-Dale,St. Paul Central,1,Equity,"(44.956052, -93.136555999999999)"
30083,15,Wilder Street & Marshall Ave,239 Cleveland Ave N,44.948147,-93.185819,55104,St. Paul,Union Park,St. Paul West,4,St. Paul,"(44.948146999999999, -93.185818999999995)"
30085,15,Grand Ave & Fairview Ave,1807 Grand Ave,44.940513,-93.177093,55104,St. Paul,Macalester-Groveland,St. Paul West,3,St. Paul,"(44.940513000000003, -93.177092999999999)"
30086,15,Macalester College,1679 Grand Ave,44.940218,-93.17022,55105,St. Paul,Macalester-Groveland,St. Paul West,3,St. Paul,"(44.940218000000002, -93.17022)"
30099,15,Kowalski's Market,1268 Grand Ave,44.9401026,-93.1531513,55105,St. Paul,Macalester-Groveland,St. Paul West,3,Attraction,"(44.940102600000003, -93.15315129999999)"
30100,23,Lake Como Pavilion,1360 Lexington Parkway North,44.981914,-93.143383,55103,St. Paul,Como,St. Paul North,5,Attraction,"(44.981914000000003, -93.143383)"
30101,15,N Milton Street & Summit Ave,7 N. Milton Street,44.941599,-93.138832,55104,St. Paul,Summit-University,St. Paul Central,1,St. Paul,"(44.941598999999997, -93.138831999999994)"
30102,19,Como Park Conservatory,Aida Place & Estabrook Dr,44.98115,-93.1517,55104,St. Paul,Como,St. Paul North,3,Attraction,"(44.98115, -93.151700000000005)"
30103,15,Hague Ave & Dale Street,Mississippi Market,44.945736,-93.12661,55104,St. Paul,Summit-University,St. Paul Central,1,St. Paul,"(44.945735999999997, -93.126609999999999)"
30105,15,Lexington Pkwy & University Ave,476 North Lexington Parkway,44.955363,-93.146379,55104,St. Paul,Summit-University,St. Paul Central,1,Equity,"(44.955362999999998, -93.14637900000001)"
30106,15,Dale Street & Grand Ave.,55 South Dale Street,44.939779,-93.126261,55102,St. Paul,Summit Hill,St. Paul Central,1,St. Paul,"(44.939778999999994, -93.126261)"
30107,15,Dale Street N & University Ave,480 Dale Street N,44.956066,-93.126088,55102,St. Paul,Summit-University,St. Paul Central,1,Equity,"(44.956066, -93.126087999999996)"
30111,15,Hamline Ave N & University Ave W,389 Hamline Ave.,44.9559764,-93.1567025,55104,St. Paul,Union Park,St. Paul West,1,Equity,"(44.955976399999997, -93.156702500000009)"
30113,15,U of M St. Paul Student Center,2015 Buford Ave.,44.984527,-93.185029,55108,St. Paul,St. Anthony Park,St. Paul North,4,St. Paul,"(44.984527, -93.185029)"
30116,15,Minnesota History Center,440 John Ireland Blvd,44.949053,-93.10673,55102,St. Paul,St. Paul Downtown,St. Paul Downtown,2,Attraction,"(44.949052999999999, -93.106729999999999)"
